destination	size	sha256	source (absolute)
archive/gen1-2015-2018/YACC1A/deprecated/Presetations/yacc1.pdf	90490431	39f54324cceab13f16fb9df9c0de0c5b153efbf3605e4eb403b5c7a199dcc058	/Users/ksr77/Documents/YACCS/YACCS-OLD/YACC1A/deprecated/Presetations/yacc1.pdf
archive/gen1-2015-2018/YACC1A/deprecated/Presetations/yacc1.pptx	141838850	86e9b7e9446822a0550ca51299bd83d1bac9e4e8d154df7dd31daedc988d6d3d	/Users/ksr77/Documents/YACCS/YACCS-OLD/YACC1A/deprecated/Presetations/yacc1.pptx
docs/history/presentations/yacc1.pptx	141838921	aaa4941c336b9026a6397a99cc0be2109f6be4fca0eeb39ff8b0b6f23bd5b885	/Users/ksr77/Documents/YACCS/YACC gitversion/YACC1-2020/Presentations/yacc1.pptx
vm/legacy-installers/Install Parallels Desktop.dmg	1983750	2e697828d0bb36a4aa0085997b62a9cc6a83e13afe94c299e4a707f3282b2a66	/Users/ksr77/Documents/YACCS/YACC1-2024/Required Applications/Install Parallels Desktop.dmg
vm/legacy-installers/jdk-22_macos-aarch64_bin.dmg	188191230	ad95ee003c836c5eecf961eb4402edf7db58b678e8ac5cd834282bfa89eb5ba1	/Users/ksr77/Documents/YACCS/YACC1-2024/Required Applications/jdk-22_macos-aarch64_bin.dmg
vm/legacy-installers/jdk-8u111-nb-8_2-macosx-x64.dmg	359647229	78edb860c35166279f3239d2e22e4e1a0afe3198fd390e2f66582e075fcd92db	/Users/ksr77/Documents/YACCS/YACC1-2024/Required Applications/jdk-8u111-nb-8_2-macosx-x64.dmg
vm/legacy-installers/prog-express-3.7.6-4.dmg	43413090	50b5b354330f10fd0b810bb4ea46e46c3c8086e03fce3468466643d07446619d	/Users/ksr77/Documents/YACCS/YACC1-2024/Required Applications/prog-express-3.7.6-4.dmg
